"",,,,Tanktables,,,1 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB1,,,
"",,,,,,,
"",,,,,,,
340,271350,272151,272951,273752 274552 275353 276153,,276953,277753 278554
350,279354,280154,280954,281754 282554 283354 284154,,284955,285755 286555
360,287355,288155,288955,289755 290555 291355 292156,,292956,293756 294556
370,295356,296156,296956,297756 298556 299357 300157,,300957,301757 302557
380,303357,304157,304957,305757 306558 307358 308158,,308958,309758 310556
390,311353,312149,312946,313742 314539 315335 316132,,316928,317725 318521
400,319318,320114,320911,321707 322504 323300 324097,,324893,325690 326486
410,327283,328080,328877,329674 330471 331267 332064,,332861,333658 334455
420,335252,336049,336846,337643 338440 339236 340033,,340830,341627 342424
430,343218,344009,344801,345592 346384 347175 347966,,348758,349549 350341
440,351132,351924,352715,353506 354284 355035 355788,,356541,357256 357924
"",,,,Tanktables,,,10 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB3,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
450,358592,359256,359846,360437 361027 361542 362063,,362569,363003 363433
"",,,,,,,
460,363784,364123,364426,364638 364745,,,
4  7  0,,,,,,,
480,,,,,,,
"",,,,,,,
490,,,,,,,
"",,,,,,,
500,,,,,,,
5  1  0,,,,,,,
520,,,,,,,
530,,,,,,,
540,,,,,,,
550,,,,,,,
560,,,,,,,
570,,,,,,,
580,,,,,,,
590,,,,,,,
600,,,,,,,
610,,,,,,,
620,,,,,,,
630,,,,,,,
640,,,,,,,
650,,,,,,,
660,,,,,,,
670,,,,,,,
680,,,,,,,
690,,,,,,,
700,,,,,,,
710,,,,,,,
720,,,,,,,
730,,,,,,,
740,,,,,,,
750,,,,,,,
760,,,,,,,
770,,,,,,,
780,,,,,,,
790,,,,,,,
800,,,,,,,
810,,,,,,,
820,,,,,,,
830,,,,,,,
840,,,,,,,
850,,,,,,,
860,,,,,,,
870,,,,,,,
880,,,,,,,
890,,,,,,,
"",,,,Tanktables,,,11 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE SB3,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
0,962,1337,1765,2259 2819 3440 4115,,4854,5637 6421
"",,,,,,,
10,7205,7989,8773,9557 10341 11125 11909,,12693,13477 14261
2  0,15044,15828,16617,17417 18217 19017 19816,,20616,21416 22216
30,23015,23815,24615,25414 26214 27014 27814,,28613,29413 30213
"",,,,,,,
40,31012,31812,32612,33412 34212 35012 35811,,36611,37411 38211
